Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:700
0deffbc5-7581-418a-9356-c1dfb06ee4b4,,ICD 10 - WHO:A37,A37 Whooping cough,Whooping cough,,Diagnosis,N/A,,,,
dbb391d5-67e2-48be-82ed-bc284d5165d5,,ICD 10 - WHO:A38,A38 Scarlet fever,Scarlet fever,,Diagnosis,N/A,,,,
7e828635-27ce-4beb-8e79-55d8de1db99b,,ICD 10 - WHO:A39,A39 Meningococcal infection,Meningococcal infection,,Diagnosis,N/A,,,,
2f0adb10-ff01-4d8e-b3c9-eeb6744d0da1,,ICD 10 - WHO:A43,A43 Nocardiosis,Nocardiosis,,Diagnosis,N/A,,,,
ecb6a61a-7925-4830-81a0-2102894d3d7e,,ICD 10 - WHO:A48.1,A48.1 Legionnaires' disease,Legionnaires' disease,,Diagnosis,N/A,,,,
db503690-9cf8-45ed-a63e-fa0779891223,,ICD 10 - WHO:A49.9,"A49.9 Bacterial infection, unspecified","Bacterial infection, unspecified",,Diagnosis,N/A,,,,
49d6768e-d46f-4610-9e59-0189c2ba7346,,ICD 10 - WHO:A51,A51 Early syphilis,Early syphilis,,Diagnosis,N/A,,,,
53db9297-a761-4dfe-983a-b77b9e3c5e59,,ICD 10 - WHO:A51.4,A51.4 Other secondary syphilis,Other secondary syphilis,,Diagnosis,N/A,,,,
302ddfdc-1cf6-416e-a36c-18df4b6de53d,,ICD 10 - WHO:A52,A52 Late syphilis,Late syphilis,,Diagnosis,N/A,,,,
a36ebca0-3d25-4aa4-8fb8-d90d13942ba5,,ICD 10 - WHO:A53.9,"A53.9 Syphilis, unspecified","Syphilis, unspecified",,Diagnosis,N/A,,,,
dcac23eb-0e0b-494e-b4ef-ff0758d5a3d1,,ICD 10 - WHO:A54,A54 Gonococcal infection,Gonococcal infection,,Diagnosis,N/A,,,,
08dfd6c6-47f8-47e6-a5ae-6abdefe9ea26,,ICD 10 - WHO:A57,A57 Chancroid,Chancroid,,Diagnosis,N/A,,,,
d65e0617-091f-4f4d-bdbe-6a1913fd3693,,ICD 10 - WHO:A59,A59 Trichomoniasis,Trichomoniasis,,Diagnosis,N/A,,,,
6353c3af-82ba-4003-8e26-e045b22b5555,,ICD 10 - WHO:A60.0,A60.0 Herpesviral infection of genitalia and urogenital tract,Herpesviral infection of genitalia and urogenital tract,,Diagnosis,N/A,,,,
e935bef7-ba14-4929-b905-80de4a4b4b55,,ICD 10 - WHO:A63.0,A63.0 Anogenital (venereal) warts,Anogenital (venereal) warts,,Diagnosis,N/A,,,,
95c2905e-9cba-4446-b368-ab2b1283a9f3,,ICD 10 - WHO:A75.9,"A75.9 Typhus fever, unspecified","Typhus fever, unspecified",,Diagnosis,N/A,,,,
6ae71cb1-2db2-4192-be6b-f65c8144677a,,ICD 10 - WHO:A77.9,"A77.9 Spotted fever, unspecified","Spotted fever, unspecified",,Diagnosis,N/A,,,,
cde38e7d-e2a2-4b44-893f-8c6c28a09767,,ICD 10 - WHO:A78,A78 Q fever,Q fever,,Diagnosis,N/A,,,,
edb84756-c75a-4329-ab58-08d568e2f134,,ICD 10 - WHO:A82,A82 Rabies,Rabies,,Diagnosis,N/A,,,,
a2721a7a-211e-4172-bb2b-9119d5d868b1,,ICD 10 - WHO:A90,A90 Dengue fever [classical dengue],Dengue fever [classical dengue],,Diagnosis,N/A,,,,
f837f638-936c-4a4a-8949-b1a71e54f67f,,ICD 10 - WHO:A91,A91 Dengue hemorrhagic fever,Dengue hemorrhagic fever,,Diagnosis,N/A,,,,
f82c7760-f999-4347-a80b-426f9b6dbbed,,ICD 10 - WHO:A92,A92 Other mosquito-borne viral fevers,Other mosquito-borne viral fevers,,Diagnosis,N/A,,,,
8bf17292-91cb-4fce-88b5-ab877b56ce93,,ICD 10 - WHO:A92.0,A92.0 Chikungunya virus disease,Chikungunya virus disease,,Diagnosis,N/A,,,,
491f20ea-3280-4175-b3bf-cb606fc67ed1,,ICD 10 - WHO:A92.1,A92.1 O'nyong-nyong fever,O'nyong-nyong fever,,Diagnosis,N/A,,,,
3fe876b0-67f2-49a1-961c-3c5b6755a078,,ICD 10 - WHO:A92.2,A92.2 Venezuelan equine fever,Venezuelan equine fever,,Diagnosis,N/A,,,,
3630b77d-404e-4470-892b-44bcd64df8f5,,ICD 10 - WHO:A92.9,"A92.9 Mosquito-borne viral fever, unspecified","Mosquito-borne viral fever, unspecified",,Diagnosis,N/A,,,,
9052d784-80c4-40bb-be5a-0e38b1b0999f,,ICD 10 - WHO:A95,A95 Yellow fever,Yellow fever,,Diagnosis,N/A,,,,
35237e33-1cc7-48cf-8e96-41348c95d7ab,,ICD 10 - WHO:B00.9,"B00.9 Herpesviral infection, unspecified","Herpesviral infection, unspecified",,Diagnosis,N/A,,,,
57d524e1-c272-48e3-9013-aef55f22d768,,ICD 10 - WHO:B01,B01 Varicella [chickenpox],Varicella [chickenpox],,Diagnosis,N/A,,,,
4770bb6d-c059-4e9b-bf3d-74253638074c,,ICD 10 - WHO:B02,B02 Zoster [herpes zoster],Zoster [herpes zoster],,Diagnosis,N/A,,,,
7882051f-3e9d-4f33-8889-22fe8242e869,,ICD 10 - WHO:B03,B03 Smallpox,Smallpox,,Diagnosis,N/A,,,,
81fea714-fe3d-4983-a412-f6f5eb28d489,,ICD 10 - WHO:B04,B04 Monkeypox,Monkeypox,,Diagnosis,N/A,,,,
d1b93db9-91ff-4289-9e7d-bbb13c214f56,,ICD 10 - WHO:B05,B05 Measles,Measles,,Diagnosis,N/A,,,,
58766471-d672-4f55-8c6d-e1248d8a6cad,,ICD 10 - WHO:B06,B06 Rubella [German measles],Rubella [German measles],,Diagnosis,N/A,,,,
09b8a1e9-2fa8-4c96-94fe-01924a53bce9,,ICD 10 - WHO:B07,B07 Viral warts,Viral warts,,Diagnosis,N/A,,,,
311383cd-4c67-4926-9c91-f5f4748b207c,,ICD 10 - WHO:B08.1,B08.1 Molluscum contagiosum,Molluscum contagiosum,,Diagnosis,N/A,,,,
63eefe74-87b2-49a6-a4ca-205d172b77df,,ICD 10 - WHO:B15,B15 Acute hepatitis A,Acute hepatitis A,,Diagnosis,N/A,,,,
5b7d1448-b15f-4f52-b84d-f82493c89fb4,,ICD 10 - WHO:B16,B16 Acute hepatitis B,Acute hepatitis B,,Diagnosis,N/A,,,,
d6668a29-4b4d-4f6d-b447-e021f4062857,,ICD 10 - WHO:B17.1,B17.1 Acute hepatitis C,Acute hepatitis C,,Diagnosis,N/A,,,,
df31a221-f119-4f00-b8fb-78debacc788c,,ICD 10 - WHO:B17.2,B17.2 Acute hepatitis E,Acute hepatitis E,,Diagnosis,N/A,,,,
4c06dc23-6d73-4937-9dd7-f52ddb133147,,ICD 10 - WHO:B26,B26 Mumps,Mumps,,Diagnosis,N/A,,,,
49f54ec9-bc6a-485e-a94f-d0ef83b7b41b,,ICD 10 - WHO:B34.9,"B34.9 Viral infection, unspecified","Viral infection, unspecified",,Diagnosis,N/A,,,,
b77e4e45-6135-43bb-b873-698fe3924610,,ICD 10 - WHO:B35,B35 Dermatophytosis,Dermatophytosis,,Diagnosis,N/A,,,,
5397a210-f67b-4a31-9c78-4325f4c5112c,,ICD 10 - WHO:B35.0,B35.0 Tinea barbae and tinea capitis,Tinea barbae and tinea capitis,,Diagnosis,N/A,,,,
e2ecdf0a-4865-4be6-b660-d2058b227435,,ICD 10 - WHO:B35.1,B35.1 Tinea unguium,Tinea unguium,,Diagnosis,N/A,,,,
1bf8e3ba-fb31-45ac-8cac-fac049b09fe0,,ICD 10 - WHO:B35.2,B35.2 Tinea manuum,Tinea manuum,,Diagnosis,N/A,,,,
f964c1a5-4836-445f-947f-54015064a4bc,,ICD 10 - WHO:B35.3,B35.3 Tinea pedis,Tinea pedis,,Diagnosis,N/A,,,,
12f8b1f8-063b-433c-ab2e-454687137365,,ICD 10 - WHO:B35.4,B35.4 Tinea corporis,Tinea corporis,,Diagnosis,N/A,,,,
1c143578-b0a2-47c5-84ea-43ab76e4534a,,ICD 10 - WHO:B35.5,B35.5 Tinea imbricata,Tinea imbricata,,Diagnosis,N/A,,,,
f20a93f2-aa84-4846-9369-97aa7074a7d3,,ICD 10 - WHO:B35.6,B35.6 Tinea cruris,Tinea cruris,,Diagnosis,N/A,,,,
97fdeac1-c313-4e87-92be-2883e4aa1fb4,,ICD 10 - WHO:B36.0,B36.0 Pityriasis versicolor,Pityriasis versicolor,,Diagnosis,N/A,,,,
8665b7ce-b2df-43cd-b615-c66624a8f123,,ICD 10 - WHO:B36.1,B36.1 Tinea nigra,Tinea nigra,,Diagnosis,N/A,,,,
e10c8e74-886f-4562-8ddd-0b3d2b34ef6b,,ICD 10 - WHO:B36.2,B36.2 White piedra,White piedra,,Diagnosis,N/A,,,,
19cbe9d1-b72e-492d-9b5d-49d0d9d1cd1c,,ICD 10 - WHO:B36.3,B36.3 Black piedra,Black piedra,,Diagnosis,N/A,,,,
2bdbec3d-5014-42e7-b3d3-aa039c0c3b38,,ICD 10 - WHO:B37,B37 Candidiasis,Candidiasis,,Diagnosis,N/A,,,,
c3c89d62-e2db-4fd9-ad76-987eafaa0dd8,,ICD 10 - WHO:B37.3,B37.3 Candidiasis of vulva and vagina,Candidiasis of vulva and vagina,,Diagnosis,N/A,,,,
8c22d806-91e7-4faa-b812-7d26da0db6bd,,ICD 10 - WHO:B39,B39 Histoplasmosis,Histoplasmosis,,Diagnosis,N/A,,,,
6ac81895-0265-4474-8002-e60bd133eaee,,ICD 10 - WHO:B58.9,"B58.9 Toxoplasmosis, unspecified","Toxoplasmosis, unspecified",,Diagnosis,N/A,,,,
d77e765e-e505-482a-8665-2786f067ae4f,,ICD 10 - WHO:B59,B59 Pneumocystosis,Pneumocystosis,,Diagnosis,N/A,,,,
e93762e6-c4a8-4279-b6e1-5bfad1145319,,ICD 10 - WHO:B82.0,"B82.0 Intestinal helminthiasis, unspecified","Intestinal helminthiasis, unspecified",,Diagnosis,N/A,,,,
a43ab69a-8643-4698-9a62-a58912d3714a,,ICD 10 - WHO:B86,B86 Scabies,Scabies,,Diagnosis,N/A,,,,
5e83413d-dd28-4b02-aa2a-ecf24a326360,,ICD 10 - WHO:B87,B87 Myiasis,Myiasis,,Diagnosis,N/A,,,,
847766b5-020c-4085-b346-ab03cc579f9e,,ICD 10 - WHO:B99,B99 Other infectious diseases,Other infectious diseases,,Diagnosis,N/A,,,,
67d26bd9-528b-4952-9266-338cbf562ef0,,ICD 10 - WHO:C80,C80 Malignant neoplasm without specification of site,Malignant neoplasm without specification of site,,Diagnosis,N/A,,,,
d2394991-d7c7-42cc-8043-9320bc620683,,ICD 10 - WHO:C81,C81 Hodgkin's disease,Hodgkin's disease,,Diagnosis,N/A,,,,
270a3627-9c0e-4a26-b617-898344f0fd2e,,ICD 10 - WHO:C83.6,C83.6 Non-Hodgkin's lymphoma undifferentiated (diffuse),Non-Hodgkin's lymphoma undifferentiated (diffuse),,Diagnosis,N/A,,,,
50748dbf-7f8f-471d-baac-1c77ef68f6e4,,ICD 10 - WHO:C95.9,"C95.9 Leukemia, unspecified","Leukemia, unspecified",,Diagnosis,N/A,,,,
d5e035a6-da05-4c00-b58c-18bc1d98c25d,,ICD 10 - WHO:D36.7,D36.7 Benign neoplasm of other specified sites,Benign neoplasm of other specified sites,,Diagnosis,N/A,,,,
438ac440-9118-4510-ac0e-c2e2c5ec92eb,,ICD 10 - WHO:D56.9,"D56.9 Thalassemia, unspecified","Thalassemia, unspecified",,Diagnosis,N/A,,,,
a1ec1419-4b2f-4e36-a98c-09a311cbcd10,,ICD 10 - WHO:D57.0,D57.0 Sickle-cell anemia with crisis,Sickle-cell anemia with crisis,,Diagnosis,N/A,,,,
1717e1d4-95ed-421a-bc6b-53269c78fab5,,ICD 10 - WHO:D57.1,D57.1 Sickle-cell anemia without crisis,Sickle-cell anemia without crisis,,Diagnosis,N/A,,,,
7b39bc4d-b445-45ed-8a3a-47ea94627ebd,,ICD 10 - WHO:D57.3,D57.3 Sickle-cell trait,Sickle-cell trait,,Diagnosis,N/A,,,,
75b7be8b-bff5-47d3-a477-0e76de9cf526,,ICD 10 - WHO:D64.9,"D64.9 Anemia, unspecified","Anemia, unspecified",,Diagnosis,N/A,,,,
5e7d6f22-ec82-41db-82bd-1e09cd5faf64,,ICD 10 - WHO:D69.9,"D69.9 Hemorrhagic condition, unspecified","Hemorrhagic condition, unspecified",,Diagnosis,N/A,,,,
7d7ea970-e4f1-4501-bf19-12d949b4bb42,,ICD 10 - WHO:D84.9,"D84.9 Immunodeficiency, unspecified","Immunodeficiency, unspecified",,Diagnosis,N/A,,,,
9ff45afe-dc96-42bd-b0fa-4c0c25b03412,,ICD 10 - WHO:D86,D86 Sarcoidosis,Sarcoidosis,,Diagnosis,N/A,,,,
130c5a6c-2b09-449c-983a-c056be944bb5,,ICD 10 - WHO:E03.9,"E03.9 Hypothyroidism, unspecified","Hypothyroidism, unspecified",,Diagnosis,N/A,,,,
29babbd9-baae-414f-a84f-dd576873b585,,ICD 10 - WHO:E04.9,"E04.9 Nontoxic goiter, unspecified","Nontoxic goiter, unspecified",,Diagnosis,N/A,,,,
fc73c5ec-717f-489c-b363-f3b14c9fae22,,ICD 10 - WHO:E06,E06 Thyroiditis,Thyroiditis,,Diagnosis,N/A,,,,
d608c73c-bfdf-458f-90e4-a236c2b0bee5,,ICD 10 - WHO:E07.9,"E07.9 Disorder of thyroid, unspecified","Disorder of thyroid, unspecified",,Diagnosis,N/A,,,,
5eec78a1-1194-433c-958c-a3c7567154c6,,ICD 10 - WHO:E14,E14 Unspecified diabetes mellitus,Unspecified diabetes mellitus,,Diagnosis,N/A,,,,
30bcabcf-9da0-4a9d-8e1d-cfc358ec8f85,,ICD 10 - WHO:E16.2,"E16.2 Hypoglycemia, unspecified","Hypoglycemia, unspecified",,Diagnosis,N/A,,,,
efec7e85-1ed4-4f84-85f6-47bc3ae2944b,,ICD 10 - WHO:E20,E20 Hypoparathyroidism,Hypoparathyroidism,,Diagnosis,N/A,,,,
97a9090b-3daf-49c2-8659-79583e55f667,,ICD 10 - WHO:E21.3,"E21.3 Hyperparathyroidism, unspecified","Hyperparathyroidism, unspecified",,Diagnosis,N/A,,,,
756d7a3e-04ea-4299-99e4-1c6159ad1cab,,ICD 10 - WHO:E23.0,E23.0 Hypopituitarism,Hypopituitarism,,Diagnosis,N/A,,,,
2d45b7c5-6b16-4df8-8ffc-5d92f770f42f,,ICD 10 - WHO:E23.2,E23.2 Diabetes insipidus,Diabetes insipidus,,Diagnosis,N/A,,,,
4d86e896-7321-4c53-b965-3b0ef99050ad,,ICD 10 - WHO:E23.7,"E23.7 Disorder of pituitary gland, unspecified","Disorder of pituitary gland, unspecified",,Diagnosis,N/A,,,,
673c605e-f451-4b45-9d11-e40f204b50b6,,ICD 10 - WHO:E24,E24 Cushing's syndrome,Cushing's syndrome,,Diagnosis,N/A,,,,
e4b7ceb6-6538-4aa0-94e2-0e54aa03a188,,ICD 10 - WHO:E26.9,"E26.9 Hyperaldosteronism, unspecified","Hyperaldosteronism, unspecified",,Diagnosis,N/A,,,,
c48d0cf6-a9c9-4f38-8d3e-a1208eae9d50,,ICD 10 - WHO:E28.2,E28.2 Polycystic ovarian syndrome,Polycystic ovarian syndrome,,Diagnosis,N/A,,,,
432f2d5b-da94-4485-9134-f08bfb368cc2,,ICD 10 - WHO:E28.9,"E28.9 Ovarian dysfunction, unspecified","Ovarian dysfunction, unspecified",,Diagnosis,N/A,,,,
d30acb3b-bc79-4572-86c9-f02967ba0112,,ICD 10 - WHO:E29.9,"E29.9 Testicular dysfunction, unspecified","Testicular dysfunction, unspecified",,Diagnosis,N/A,,,,
8dc80d89-f687-4d2a-b55a-bb9db732a6b8,,ICD 10 - WHO:E30.0,E30.0 Delayed puberty,Delayed puberty,,Diagnosis,N/A,,,,
5959dba1-1a75-49c9-ab39-297e3f2644dc,,ICD 10 - WHO:E30.9,"E30.9 Disorder of puberty, unspecified","Disorder of puberty, unspecified",,Diagnosis,N/A,,,,
01575914-b89a-4a3a-9053-51c6fc3dc995,,ICD 10 - WHO:E55,E55 Vitamin D deficiency,Vitamin D deficiency,,Diagnosis,N/A,,,,
2c01151c-a3cd-47a9-9b50-4aa1452cdf6e,,ICD 10 - WHO:E55.0,"E55.0 Rickets, active","Rickets, active",,Diagnosis,N/A,,,,
a4f8318e-f2c8-4363-ac12-046a1e568d62,,ICD 10 - WHO:E56.9,"E56.9 Vitamin deficiency, unspecified","Vitamin deficiency, unspecified",,Diagnosis,N/A,,,,
ec9975d5-7586-465e-86db-45ea5d530acc,,ICD 10 - WHO:E58,E58 Dietary calcium deficiency,Dietary calcium deficiency,,Diagnosis,N/A,,,,
b264d4b1-bdb9-4ec2-abfc-a1895f89df75,,ICD 10 - WHO:E63.9,"E63.9 Nutritional deficiency, unspecified","Nutritional deficiency, unspecified",,Diagnosis,N/A,,,,
4c0a7910-b290-465d-a1f6-d4bb6dbaf192,,ICD 10 - WHO:E66,E66 Obesity,Obesity,,Diagnosis,N/A,,,,
2cddb583-37d0-4fdc-90f6-dc56e85a62f9,,ICD 10 - WHO:E70.3,E70.3 Albinism,Albinism,,Diagnosis,N/A,,,,
f28dba74-c32a-48e8-93c9-3ac39ec810ed,,ICD 10 - WHO:E73,E73 Lactose intolerance,Lactose intolerance,,Diagnosis,N/A,,,,
abccb1ae-341c-459c-88c0-979f6bd9cf74,,ICD 10 - WHO:E78.5,"E78.5 Hyperlipidemia, unspecified","Hyperlipidemia, unspecified",,Diagnosis,N/A,,,,
f7555318-510f-4abe-bae4-9c24adcfbc9d,,ICD 10 - WHO:E84,E84 Cystic fibrosis,Cystic fibrosis,,Diagnosis,N/A,,,,
c2bca9c4-f419-4b62-9a04-20ce6122e6d3,,ICD 10 - WHO:E85,E85 Amyloidosis,Amyloidosis,,Diagnosis,N/A,,,,
3563f553-75a8-41fd-ae2f-2f028adf283b,,ICD 10 - WHO:E87.7,E87.7 Fluid overload,Fluid overload,,Diagnosis,N/A,,,,
c2cf33ec-1378-41ad-aa6b-4d4d703cda7a,,ICD 10 - WHO:E88.9,"E88.9 Metabolic disorder, unspecified","Metabolic disorder, unspecified",,Diagnosis,N/A,,,,
069b3cea-6276-4617-877e-374ac8d7dfe8,,ICD 10 - WHO:F01,F01 Vascular dementia,Vascular dementia,,Diagnosis,N/A,,,,
4e519c71-b1c3-4d0d-9377-0b034e114331,,ICD 10 - WHO:F03,F03 Unspecified dementia,Unspecified dementia,,Diagnosis,N/A,,,,
8dc433b9-edf9-4a49-9099-ccc2f0ca8f06,,ICD 10 - WHO:F05.9,"F05.9 Delirium, unspecified","Delirium, unspecified",,Diagnosis,N/A,,,,
ce7f0169-7abc-4896-9ab3-3d95ac1ab449,,ICD 10 - WHO:F20,F20 Schizophrenia,Schizophrenia,,Diagnosis,N/A,,,,
cf4aabed-b753-4aab-a22d-c52921921217,,ICD 10 - WHO:F22.0,F22.0 Delusional disorder,Delusional disorder,,Diagnosis,N/A,,,,
a385a541-dcd3-4f97-8722-24d1c6737a8d,,ICD 10 - WHO:F30,F30 Manic episode,Manic episode,,Diagnosis,N/A,,,,
f335a141-72b0-401b-8f49-b90e10287652,,ICD 10 - WHO:F31,F31 Bipolar affective disorder,Bipolar affective disorder,,Diagnosis,N/A,,,,
447c7f03-8dc8-4a28-be6c-f6950094663b,,ICD 10 - WHO:F32.9,"F32.9 Depressive episode, unspecified","Depressive episode, unspecified",,Diagnosis,N/A,,,,
ccb1f7e1-7c54-4601-b209-964738d77617,,ICD 10 - WHO:F33.9,"F33.9 Recurrent depressive disorder, unspecified","Recurrent depressive disorder, unspecified",,Diagnosis,N/A,,,,
df6ecbff-20f7-4a7f-8881-55fbd3fe5783,,ICD 10 - WHO:F40.1,F40.1 Social phobias,Social phobias,,Diagnosis,N/A,,,,
1bb81b1a-200d-49ae-85be-faf379c211c3,,ICD 10 - WHO:F41.0,F41.0 Panic disorder [episodic paroxysmal anxiety],Panic disorder [episodic paroxysmal anxiety],,Diagnosis,N/A,,,,
09c15406-219a-47d5-b4a2-81aeceb55a93,,ICD 10 - WHO:F41.9,"F41.9 Anxiety disorder, unspecified","Anxiety disorder, unspecified",,Diagnosis,N/A,,,,
bb6dfc41-f9c0-43d9-a077-156f92fad432,,ICD 10 - WHO:F42,F42 Obsessive-compulsive disorder,Obsessive-compulsive disorder,,Diagnosis,N/A,,,,
3e8317d5-5a3d-4126-b1af-b45ff17885e6,,ICD 10 - WHO:F43.1,F43.1 Posttraumatic stress disorder,Posttraumatic stress disorder,,Diagnosis,N/A,,,,
4dffc5de-093a-4a03-ad97-a593b5784df8,,ICD 10 - WHO:F50.9,"F50.9 Eating disorder, unspecified","Eating disorder, unspecified",,Diagnosis,N/A,,,,
575b4291-f1b5-4661-8805-70a02c4ef4f5,,ICD 10 - WHO:F51.5,F51.5 Nightmares,Nightmares,,Diagnosis,N/A,,,,
1dbc2f5c-2209-44fc-ad75-fee0ca0f2f6c,,ICD 10 - WHO:F51.9,"F51.9 Nonorganic sleep disorder, unspecified","Nonorganic sleep disorder, unspecified",,Diagnosis,N/A,,,,
d83d38a9-6ae1-45b9-af25-facecc739028,,ICD 10 - WHO:F52,"F52 Sexual dysfunction, not caused by organic disorder or disease","Sexual dysfunction, not caused by organic disorder or disease",,Diagnosis,N/A,,,,
d8fe3d5e-5876-4816-b83e-5c19c7e702f5,,ICD 10 - WHO:F64,F64 Gender identity disorders,Gender identity disorders,,Diagnosis,N/A,,,,
27155c6e-0605-41c1-967d-2c5cf72a6aa4,,ICD 10 - WHO:F79,F79 Unspecified mental retardation,Unspecified mental retardation,,Diagnosis,N/A,,,,
0f6267d3-d0b6-4ef1-a49d-692a77e1e61b,,ICD 10 - WHO:F80.9,"F80.9 Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified",,Diagnosis,N/A,,,,
bc83c9e9-908b-4dfd-8ba4-ce3852c3edb2,,ICD 10 - WHO:F84.0,F84.0 Childhood autism,Childhood autism,,Diagnosis,N/A,,,,
0905e2d7-ee82-41a1-af9c-55edcc78f1fd,,ICD 10 - WHO:F84.5,F84.5 Asperger's syndrome,Asperger's syndrome,,Diagnosis,N/A,,,,
8d5755bf-bd59-4dbf-b66a-9968787caa31,,ICD 10 - WHO:F91,F91 Conduct disorders,Conduct disorders,,Diagnosis,N/A,,,,
a1f6ac4f-1b22-4f17-b329-6f8de0c73446,,ICD 10 - WHO:F95,F95 Tic disorders,Tic disorders,,Diagnosis,N/A,,,,
37e87bda-3d79-4b51-bc1a-9481c2e93215,,ICD 10 - WHO:F98.3,F98.3 Pica of infancy and childhood,Pica of infancy and childhood,,Diagnosis,N/A,,,,
91ee791a-8fa9-4b9d-8a10-7eb44535af6b,,ICD 10 - WHO:F98.5,F98.5 Stuttering [stammering],Stuttering [stammering],,Diagnosis,N/A,,,,
61e806d2-0bc4-453c-9c7c-1b7a3f310743,,ICD 10 - WHO:G00,"G00 Bacterial meningitis, not elsewhere classified","Bacterial meningitis, not elsewhere classified",,Diagnosis,N/A,,,,
7ce9f78c-1cc4-4713-b35c-c53ea2eba3e5,,ICD 10 - WHO:G10,G10 Huntington's disease,Huntington's disease,,Diagnosis,N/A,,,,
2e85584d-37b4-414f-8434-5aebe393def5,,ICD 10 - WHO:G20,G20 Parkinson's disease,Parkinson's disease,,Diagnosis,N/A,,,,
bc39bff3-2aa5-41f7-9ad7-16b69e50c9f1,,ICD 10 - WHO:G24,G24 Dystonia,Dystonia,,Diagnosis,N/A,,,,
223ccaf5-1f16-4081-bfe6-c6c18fe1d607,,ICD 10 - WHO:G30,G30 Alzheimer's disease,Alzheimer's disease,,Diagnosis,N/A,,,,
c9c21694-e809-4029-a303-2d0281377ae5,,ICD 10 - WHO:G35,G35 Multiple sclerosis,Multiple sclerosis,,Diagnosis,N/A,,,,
b4c9b538-4d36-4eab-bcc5-24689eef3439,,ICD 10 - WHO:G40,G40 Epilepsy,Epilepsy,,Diagnosis,N/A,,,,
